,PName,geometry,polygon,pname,Status,color
47,R1-21,"
								0.6064303659875603,41.60584677121928,196.7829983603827 0.606472653813841,41.60581565011844,196.8355344663483 0.6064901492302366,41.60582891398409,196.8216339628422 0.6064489143971485,41.60586061287879,196.8095448402193 0.6064303659875603,41.60584677121928,196.7829983603827 
							",,,,yellow
48,R1-22,"
								0.6064506358008281,41.60586187793668,196.8370985454717 0.6064926805474125,41.60583084490821,196.8446387699734 0.6065105266225501,41.60584401722074,196.8721771135588 0.6064688614993186,41.60587596744301,196.7829961464579 0.6064506358008281,41.60586187793668,196.8370985454717 
							",,,,yellow
49,R1-23,"
								0.6064705727452435,41.60587788590569,196.7829985980436 0.6065128604801173,41.60584613270826,196.8412442207013 0.6065316352079098,41.60585972688269,196.8336108217975 0.6064896774666684,41.60589131116616,196.7829988074116 0.6064705727452435,41.60587788590569,196.7829985980436 
							",,,,yellow
50,R1-24,"
								0.6065327976708557,41.60586135567226,196.8292790877666 0.6065519440446421,41.60587478866479,196.8356155370187 0.6065089045309291,41.60590609581078,196.8107533121016 0.6064913398222216,41.60589254022056,196.7829964477781 0.6065327976708557,41.60586135567226,196.8292790877666 
							",,,,yellow
51,R1-25,"
								0.6065115795197995,41.60590787208035,196.8121753067691 0.6065535734478544,41.60587645554762,196.8385796681983 0.6065713437311193,41.60589021887913,196.8602647837902 0.6065298514794848,41.60592152228188,196.8216330404915 0.6065115795197995,41.60590787208035,196.8121753067691 
							",,,,yellow
52,R1-26,"
								0.6065322278684104,41.6059232982895,196.8216329584419 0.606573864924973,41.60589210311407,196.8602647653997 0.6065918544942472,41.605905838382,196.8988991880425 0.6065501760962944,41.60593669987881,196.8427489906906 0.6065322278684104,41.6059232982895,196.8216329584419 
							",,,,yellow
53,R1-27,"
								0.6065939468669623,41.60590737225891,196.8988992644335 0.6066118995238035,41.6059205626875,196.8967979739955 0.6065697987105678,41.60595199584689,196.837339789707 0.6065513688109614,41.60593821563425,196.8441213623217 0.6065939468669623,41.60590737225891,196.8988992644335 
							",,,,yellow
54,R1-28,"
								0.6065723435748072,41.6059539010425,196.833941751912 0.6066141456565632,41.60592223277749,196.8906764112497 0.6066322591466111,41.60593598532837,196.8847149470925 0.6066322591466111,41.60593598532837,196.8847149470925 0.6065906325469839,41.60596713278164,196.8216348059727 0.6065723435748072,41.6059539010425,196.833941751912 
							",,,,yellow
55,R1-29,"
								0.6065924333060657,41.60596937563633,196.82163248312 0.6066349428629203,41.60593755687806,196.8941801430852 0.6066530396036862,41.60595131177539,196.8989012435266 0.6066108865952824,41.60598315974389,196.8287566156736 0.6065924333060657,41.60596937563633,196.82163248312 
							",,,,yellow
56,R1-30,"
								0.6066124708395382,41.60598415707167,196.8304851236243 0.6066549594111592,41.60595255292825,196.8988940825764 0.6066733604766106,41.60596630500822,196.8989030797403 0.6066318833672835,41.60599817744526,196.8662905423024 0.6066124708395382,41.60598415707167,196.8304851236243 
							",,,,yellow
57,R1-31,"
								0.6066555567814125,41.60601685697705,196.8833409132496 0.6066973665179454,41.60598491950886,196.8989012986979 0.6067152456895286,41.6059982815235,196.898899845854 0.6066728582645786,41.60602977396764,196.8947787954091 0.6066555567814125,41.60601685697705,196.8833409132496 
							",,,,yellow
58,R1-32,"
								0.6066747802825634,41.60603120558017,196.8989147293698 0.6067171666649274,41.60599993803076,196.8988997623898 0.6067360799802812,41.60601341031686,196.8989019253872 0.606693713697799,41.60604429452527,196.8602662012679 0.6066747802825634,41.60603120558017,196.8989147293698 
							",,,,yellow
59,R1-33,"
								0.6066954898381738,41.60604672786607,196.8602615145377 0.6067372622884526,41.60601495649072,196.898904259557 0.6067555847821149,41.60602864980325,196.8989031066186 0.6067136912735527,41.60606010953241,196.8602620775678 0.6066954898381738,41.60604672786607,196.8602615145377 
							",,,,yellow
60,R1-34,"
								0.6067147722891897,41.60606147277617,196.8602668732259 0.6067575356990029,41.60602961805343,196.8989006790819 0.6067753082638627,41.60604356448394,196.8989003225905 0.6067334604900965,41.6060747743004,196.8602682171419 0.6067147722891897,41.60606147277617,196.8602668732259 
							",,,,yellow
